,CONTROL,AGE1,METRO3,REGION,LMED,FMR,L30,L50,L80,IPOV,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,ROOMS,WEIGHT,PER,ZINC2,ZADEQ,ZSMHC,STRUCTURETYPE,OWNRENT,UTILITY,OTHERCOST,COST06,COST12,COST08,COSTMED,TOTSAL,ASSISTED,GLMED,GL30,GL50,GL80,APLMED,ABL30,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COST06RELAMIPCT,COST06RELAMICAT,COST06RELPOVPCT,COST06RELPOVCAT,COST06RELFMRPCT,COST06RELFMRCAT,COST08RELAMIPCT,COST08RELAMICAT,COST08RELPOVPCT,COST08RELPOVCAT,COST08RELFMRPCT,COST08RELFMRCAT,COST12RELAMIPCT,COST12RELAMICAT,COST12RELPOVPCT,COST12RELPOVCAT,COST12RELFMRPCT,COST12RELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO3,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOST06RELPOVCAT,FMTCOST08RELPOVCAT,FMTCOST12RELPOVCAT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOST06RELFMRCAT,FMTCOST08RELFMRCAT,FMTCOST12RELFMRCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOST06RELAMICAT,FMTCOST08RELAMICAT,FMTCOST12RELAMICAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTREGION,FMTSTATUS
0,'100003130103',82,'3','1',73738,956,15738,26213,40322,11067,2,2006,'1',1,40000,-6,'1',1,6,3117.394239,1,18021,'1',533,1,'1',169.0,213.75,648.58818905,803.05053489,696.9052466,615.15671154,0,-9,73738,15738,26213,40322,51616.6,20234.571429,33702.428571,51842.571429,66364.2,0.35491926090000003,34.913186843000005,2,162.83545676,3,47.126046025,1,39.092654718,2,234.42240501,4,67.84395283,2,42.004890986,2,251.88587569999999,4,72.898038347,2,48.402634848000005,2,290.25048699,4,84.001101976,2,37.077623872,2,222.33910239,4,64.346936353,2,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','2 30% to 50%','-5','-5'
1,'100006110249',50,'5','3',55846,1100,17165,28604,45744,24218,4,1980,'1',1,130000,-6,'1',1,6,2150.7255443000004,4,122961,'1',487,1,'1',245.33333333,58.333333333,1167.6407811,1669.6434050999999,1324.6712181,1058.9884792,123000,-9,55846,17165,28604,45744,55846.0,19911.4,33180.64,53063.04,64781.36,0.047527264699999995,220.17870573,7,507.72565860000003,4,279.45681818,3,72.097330534,4,192.85503032,3,106.14916192,3,81.793356491,4,218.79118309999998,4,120.42465619,3,103.09406317,6,275.76899910000003,4,151.7857641,3,65.388468483,4,174.90932019999997,3,96.271679924,2,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','3 150-200% Poverty','4 200%+ Poverty','4 200%+ Poverty','3 150-200% Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','6 100 - 120% AMI','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
2,'100006370140',53,'5','3',55846,1100,13750,22897,36614,15470,4,1985,'1',1,150000,-6,'1',1,7,2213.7894038000004,2,27974,'1',1405,1,'1',159.0,37.5,1193.393209,1772.6270057999998,1374.5821747000002,1068.0251683000001,28000,-9,55846,13750,22897,36614,44676.8,19937.5,33200.65,53090.3,64781.36,0.6027025095,62.614153207,4,180.82740789,3,63.577272727,2,73.687443978,4,308.56967265,4,108.49029172,3,84.875166235,5,355.41879114,4,124.96201589,3,109.45290472,6,458.33923875,4,161.14790962,3,65.946449304,4,276.15388966,4,97.093197115,2,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 150-200% Poverty','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','5 80 - 100% AMI','6 100 - 120% AMI','4 60 - 80% AMI','4 60 - 80% AMI','.','3 50% or More','-5','-5'
3,'100006520140',67,'5','3',55846,949,13750,22897,36614,13964,3,1985,'1',1,200000,-6,'1',1,6,2364.5850969999997,2,32220,'1',279,1,'1',179.0,70.666666667,1578.8576119000002,2351.1693410999997,1820.4428996,1411.7002244,0,-9,55846,13750,22897,36614,44676.8,17875.0,29766.1,47598.2,58079.84,0.1039106145,72.117967267,4,230.73617875,4,84.87881981,2,108.73704968,6,452.26514235,4,166.37066512,3,125.37520073,7,521.46745908,4,191.82749206,3,161.92670924,7,673.49451193,4,247.75230149,3,97.224801195,5,404.38276263,4,148.75660952,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','5 80 - 100% AMI','4 60 - 80% AMI','.','1 Less than 30%','-5','-5'
4,'100007130148',26,'1','3',60991,737,14801,24628,39421,15492,2,1980,'1',1,-6,-6,'2',100,4,2314.5249016999996,2,96874,'1',759,5,'2',146.0,12.5,759.0,759.0,759.0,759.0,96900,0,60991,14801,24628,39421,48792.8,16651.125,27706.5,44348.625,54891.9,0.094019035,198.5415881,7,625.31629228,4,328.60922659,3,55.308706748999995,3,195.97211464,3,102.98507463,3,55.308706748999995,3,195.97211464,3,102.98507463,3,55.308706748999995,3,195.97211464,3,102.98507463,3,55.308706748999995,3,195.97211464,3,102.98507463,3,'1 Adequate','Central City','1980-1989','5 50+ units','2 2BR','2 Renter','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5','-5'
5,'100007390148',56,'2','3',62066,657,13170,21924,35073,12005,1,1985,'1',1,-6,-6,'2',32,3,2482.6559159000003,1,14987,'1',695,4,'2',94.75,0.0,695.0,695.0,695.0,695.0,15000,1,62066,13170,21924,35073,43446.2,14110.714286000002,23490.0,37578.214286,46549.5,0.5564822846,34.495537009,2,124.83965015,2,57.028158295,2,59.721371873,3,231.57017909,4,105.78386606,3,59.721371873,3,231.57017909,4,105.78386606,3,59.721371873,3,231.57017909,4,105.78386606,3,59.721371873,3,231.57017909,4,105.78386606,3,'1 Adequate','-5','1980-1989','4 20-49 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 100-150% Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','2 30 - 50% AMI','1 Assisted','3 50% or More','-5','-5'
6,'100007540148',50,'1','3',60991,988,16646,27713,44340,18050,3,1985,'1',1,260000,-6,'1',1,6,4084.3101178,3,69962,'1',1165,1,'1',236.0,75.0,2038.9482289,3042.9534768000003,2353.0091029,1821.643625,70001,-9,60991,16646,27713,44340,54891.9,19235.377778000002,32023.911111,51237.333332999995,63430.64,0.1998227609,127.45414169,7,387.60110803,4,177.02935223,3,128.57812747,7,451.84448285,4,206.37127822,3,148.38312228,7,521.44246047,4,238.15881608,3,191.89170892,7,674.33872062,4,307.99124259,3,114.87468044,6,403.68833795,4,184.37688512,3,'1 Adequate','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
7,'100008700141',26,'4','4',52322,773,13489,22471,35929,15992,2,1980,'1',1,-6,-6,'2',8,5,2823.3959901999997,2,32000,'2',976,3,'2',81.0,0.0,976.0,976.0,976.0,976.0,20000,0,52322,13489,22471,35929,41857.6,15175.125,25279.875,40420.125,47089.8,0.366,76.44967700000001,4,200.10005003,4,103.49288486,3,82.905427502,4,244.12206103,4,126.26131953,3,82.905427502,4,244.12206103,4,126.26131953,3,82.905427502,4,244.12206103,4,126.26131953,3,82.905427502,4,244.12206103,4,126.26131953,3,'2 Moderately Inadequ','-5','1980-1989','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','0 Not Assisted','2 30% to 50%','West','-5'
8,'100008960141',60,'5','4',50296,1125,13115,21859,34939,15452,3,1985,'1',1,170000,-6,'1',1,7,2552.7622409,2,118987,'1',1156,1,'1',184.08333333,47.5,1361.3956368,2017.8606066,1566.7431314,1219.3118574,107000,-9,50296,13115,21859,34939,40236.8,17049.5,28416.7,45420.7,52307.84,0.1165841647,295.71685621,7,770.04271292,4,264.41555556,3,104.10643122,6,352.41926917,4,121.01294549,3,119.80943058,6,405.57678783,4,139.26605612,3,154.30655188,7,522.35583915,4,179.36538726,3,93.24123170600001,5,315.63858591,4,108.38327621,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','6 100 - 120% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','West','-5'
9,'100009170148',26,'4','2',63221,552,13338,22199,35501,12005,1,1985,'1',1,-6,-6,'2',24,3,2845.4544321999997,1,47987,'1',1100,4,'2',0.0,0.0,1100.0,1100.0,1100.0,1100.0,48000,0,63221,13338,22199,35501,44254.7,14290.714286000002,23784.642857,38036.785714,47415.75,0.2750744993,108.43368049,6,399.72511454,4,217.33242754,3,92.796170049,5,366.51395252,4,199.27536232,3,92.796170049,5,366.51395252,4,199.27536232,3,92.796170049,5,366.51395252,4,199.27536232,3,92.796170049,5,366.51395252,4,199.27536232,3,'1 Adequate','-5','1980-1989','4 20-49 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
